[ T-Track ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 341
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   4.0000E+00   4.5000E+00   3.3838E+07  0.0069
   4.5000E+00   5.0000E+00   2.9659E+07  0.0065
   5.0000E+00   5.5000E+00   2.6662E+07  0.0069
   5.5000E+00   6.0000E+00   2.3594E+07  0.0073
   6.0000E+00   6.5000E+00   2.1392E+07  0.0076
   6.5000E+00   7.0000E+00   1.9599E+07  0.0080
   7.0000E+00   7.5000E+00   1.7951E+07  0.0083
   7.5000E+00   8.0000E+00   1.6421E+07  0.0087
   8.0000E+00   8.5000E+00   1.5214E+07  0.0091
   8.5000E+00   9.0000E+00   1.4158E+07  0.0094
   9.0000E+00   9.5000E+00   1.3199E+07  0.0097
   9.5000E+00   1.0000E+01   1.2306E+07  0.0100
   1.0000E+01   1.0500E+01   1.1437E+07  0.0104
   1.0500E+01   1.1000E+01   1.0585E+07  0.0108
   1.1000E+01   1.1500E+01   1.0092E+07  0.0111
   1.1500E+01   1.2000E+01   9.4285E+06  0.0115
   1.2000E+01   1.2500E+01   8.9805E+06  0.0118
   1.2500E+01   1.3000E+01   8.6547E+06  0.0120
   1.3000E+01   1.3500E+01   8.1341E+06  0.0124
   1.3500E+01   1.4000E+01   7.7061E+06  0.0127
   1.4000E+01   1.4500E+01   7.3546E+06  0.0130
   1.4500E+01   1.5000E+01   6.8672E+06  0.0134
   1.5000E+01   1.5500E+01   6.5886E+06  0.0137
   1.5500E+01   1.6000E+01   6.2887E+06  0.0140
   1.6000E+01   1.6500E+01   5.9878E+06  0.0144
   1.6500E+01   1.7000E+01   5.9499E+06  0.0144
   1.7000E+01   1.7500E+01   5.4845E+06  0.0150
   1.7500E+01   1.8000E+01   5.2465E+06  0.0154
   1.8000E+01   1.8500E+01   4.9685E+06  0.0158
   1.8500E+01   1.9000E+01   4.7009E+06  0.0162
   1.9000E+01   1.9500E+01   4.6726E+06  0.0163
   1.9500E+01   2.0000E+01   4.5842E+06  0.0165
   2.0000E+01   2.0500E+01   4.2835E+06  0.0170
   2.0500E+01   2.1000E+01   4.2751E+06  0.0170
   2.1000E+01   2.1500E+01   3.9268E+06  0.0178
   2.1500E+01   2.2000E+01   3.7662E+06  0.0181
   2.2000E+01   2.2500E+01   3.8050E+06  0.0181
   2.2500E+01   2.3000E+01   3.6298E+06  0.0185
   2.3000E+01   2.3500E+01   3.4209E+06  0.0190
   2.3500E+01   2.4000E+01   3.3696E+06  0.0192
   2.4000E+01   2.4500E+01   3.2558E+06  0.0195
   2.4500E+01   2.5000E+01   3.0976E+06  0.0200
   2.5000E+01   2.5500E+01   2.9256E+06  0.0206
   2.5500E+01   2.6000E+01   2.8365E+06  0.0209
   2.6000E+01   2.6500E+01   2.8261E+06  0.0210
   2.6500E+01   2.7000E+01   2.7153E+06  0.0214
   2.7000E+01   2.7500E+01   2.5634E+06  0.0220
   2.7500E+01   2.8000E+01   2.5946E+06  0.0219
   2.8000E+01   2.8500E+01   2.4797E+06  0.0224
   2.8500E+01   2.9000E+01   2.2986E+06  0.0232
   2.9000E+01   2.9500E+01   2.2794E+06  0.0233
   2.9500E+01   3.0000E+01   2.2563E+06  0.0235
   3.0000E+01   3.0500E+01   2.0940E+06  0.0243
   3.0500E+01   3.1000E+01   2.0134E+06  0.0248
   3.1000E+01   3.1500E+01   2.0208E+06  0.0248
   3.1500E+01   3.2000E+01   1.9577E+06  0.0252
   3.2000E+01   3.2500E+01   1.9208E+06  0.0254
   3.2500E+01   3.3000E+01   1.7793E+06  0.0264
   3.3000E+01   3.3500E+01   1.8017E+06  0.0263
   3.3500E+01   3.4000E+01   1.6350E+06  0.0276
   3.4000E+01   3.4500E+01   1.6176E+06  0.0277
   3.4500E+01   3.5000E+01   1.5155E+06  0.0286
   3.5000E+01   3.5500E+01   1.4521E+06  0.0292
   3.5500E+01   3.6000E+01   1.4162E+06  0.0296
   3.6000E+01   3.6500E+01   1.4010E+06  0.0298
   3.6500E+01   3.7000E+01   1.2451E+06  0.0316
   3.7000E+01   3.7500E+01   1.1945E+06  0.0322
   3.7500E+01   3.8000E+01   1.1806E+06  0.0324
   3.8000E+01   3.8500E+01   1.0848E+06  0.0338
   3.8500E+01   3.9000E+01   1.0040E+06  0.0352
   3.9000E+01   3.9500E+01   9.5567E+05  0.0360
   3.9500E+01   4.0000E+01   8.9961E+05  0.0372
   4.0000E+01   4.0500E+01   8.3856E+05  0.0385
   4.0500E+01   4.1000E+01   7.5149E+05  0.0406
   4.1000E+01   4.1500E+01   6.6715E+05  0.0431
   4.1500E+01   4.2000E+01   5.7767E+05  0.0464
   4.2000E+01   4.2500E+01   4.9806E+05  0.0499
   4.2500E+01   4.3000E+01   4.2218E+05  0.0542
   4.3000E+01   4.3500E+01   3.1028E+05  0.0632
   4.3500E+01   4.4000E+01   2.1593E+05  0.0758
   4.4000E+01   4.4500E+01   1.3146E+05  0.0971
   4.4500E+01   4.5000E+01   2.4793E+04  0.2236
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 1.2711E+07

'no. =  1,  reg  =    341'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.28}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 8.00999999997049369E-10 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
