[ T-Cross ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    1            # number of crossing regions
   3.4500E+01   3.5000E+01   9.3843E+11  0.0409
   3.5000E+01   3.5500E+01   8.8979E+11  0.0420
   3.5500E+01   3.6000E+01   7.5640E+11  0.0455
   3.6000E+01   3.6500E+01   6.5282E+11  0.0490
   3.6500E+01   3.7000E+01   5.0845E+11  0.0555
   3.7000E+01   3.7500E+01   3.7663E+11  0.0645
   3.7500E+01   3.8000E+01   2.1499E+11  0.0854
   3.8000E+01   3.8500E+01   1.2240E+11  0.1132
   3.8500E+01   3.9000E+01   9.4157E+09  0.4082
   3.9000E+01   3.9500E+01   0.0000E+00  0.0000
   3.9500E+01   4.0000E+01   0.0000E+00  0.0000
   4.0000E+01   4.0500E+01   0.0000E+00  0.0000
   4.0500E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.1500E+01   0.0000E+00  0.0000
   4.1500E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.2500E+01   0.0000E+00  0.0000
   4.2500E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.3500E+01   0.0000E+00  0.0000
   4.3500E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.4500E+01   0.0000E+00  0.0000
   4.4500E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 1.3517E+13
'no. =    1   reg = ( 342 343 ) - 341'
msuc: {\huge [t-cross] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.28}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   1.0000E+00 [cm^2]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.27446300715924002E-09 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
