[ T-Cross ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    1            # number of crossing regions
   3.4500E+01   3.5000E+01   3.0437E+12  0.0286
   3.5000E+01   3.5500E+01   2.9164E+12  0.0292
   3.5500E+01   3.6000E+01   2.8439E+12  0.0296
   3.6000E+01   3.6500E+01   2.8140E+12  0.0298
   3.6500E+01   3.7000E+01   2.5019E+12  0.0316
   3.7000E+01   3.7500E+01   2.3995E+12  0.0322
   3.7500E+01   3.8000E+01   2.3720E+12  0.0324
   3.8000E+01   3.8500E+01   2.1798E+12  0.0338
   3.8500E+01   3.9000E+01   2.0175E+12  0.0352
   3.9000E+01   3.9500E+01   1.9201E+12  0.0360
   3.9500E+01   4.0000E+01   1.8077E+12  0.0372
   4.0000E+01   4.0500E+01   1.6854E+12  0.0385
   4.0500E+01   4.1000E+01   1.5106E+12  0.0406
   4.1000E+01   4.1500E+01   1.3408E+12  0.0431
   4.1500E+01   4.2000E+01   1.1610E+12  0.0464
   4.2000E+01   4.2500E+01   1.0012E+12  0.0499
   4.2500E+01   4.3000E+01   8.4894E+11  0.0542
   4.3000E+01   4.3500E+01   6.2422E+11  0.0632
   4.3500E+01   4.4000E+01   4.3446E+11  0.0758
   4.4000E+01   4.4500E+01   2.6467E+11  0.0971
   4.4500E+01   4.5000E+01   4.9938E+10  0.2236
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 2.5283E+13
'no. =    1   reg = ( 342 343 ) - 341'
msuc: {\huge [t-cross] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.28}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   1.0000E+00 [cm^2]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 8.00999999997049369E-10 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
